Cell HMS LINCS ID	Cell Name	Small Molecule HMS LINCS ID	Small Molecule Name	Replicate	Seeding Density	IC50	Emax (IC)	AUC (IC)	Curve Fit (IC)	r^2 (IC)	EC50 (IC)	Einf (IC)	Hill Coefficient (IC)	GR50	GRmax	AUC (GR)	Curve Fit (GR)	r^2 (GR)	EC50 (GR)	GRinf	Hill Coefficient (GR)
50029	MCF7	10071-101-1	Palbociclib	1	312.50	Inf	0.6310	0.2755	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.8126	0.0296	0.6406	4.9997	0.0478	0.4426	0.4225	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.7762	0.0293	0.4563	4.9581
50029	MCF7	10071-101-1	Palbociclib	1	625.00	Inf	0.7935	0.2060	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.7228	0.0495	0.7081	1.6495	0.0363	0.6326	0.5066	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.5767	0.0274	0.3767	4.9999
50029	MCF7	10071-101-1	Palbociclib	1	1250.00	Inf	0.5921	0.2704	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9432	0.1193	0.5754	2.4314	0.0996	0.0619	0.6527	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9143	0.0981	0.0138	1.9095
50029	MCF7	10071-101-1	Palbociclib	1	2500.00	Inf	0.5333	0.2787	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9651	0.1215	0.5268	1.3859	0.1255	0.0927	0.5605	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9546	0.111	0.0729	1.2862
50029	MCF7	10071-101-1	Palbociclib	1	5000.00	16.6145	0.4902	0.3172	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9227	0.0839	0.4728	0.5507	0.4297	0.2967	0.4250	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9285	0.103	0.2700	0.5435
50029	MCF7	10099-101-1	Nilotinib	1	156.25	Inf	1.0500	0.0119	flat fit: x = Einf	-0.0071	Inf	1.0500	0.0000	Inf	1.0500	0.0329	flat fit: x = Einf	-0.0116	Inf	1.0500	0.0000
50029	MCF7	10099-101-1	Nilotinib	1	312.50	Inf	1.0500	-0.0475	flat fit: x = Einf	-65.5018	Inf	1.0500	0.0000	Inf	1.0500	-0.0500	flat fit: x = Einf	-Inf	Inf	1.0500	0.0000
50029	MCF7	10099-101-1	Nilotinib	1	625.00	Inf	1.0500	-0.0086	flat fit: x = Einf	-0.0479	Inf	1.0500	0.0000	Inf	1.0500	-0.0024	flat fit: x = Einf	0.0561	Inf	1.0500	0.0000
50029	MCF7	10099-101-1	Nilotinib	1	1250.00	Inf	0.8215	0.0189	flat fit: x = Einf	0.361	Inf	0.8215	0.0000	Inf	0.7629	0.0364	flat fit: x = Einf	0.4077	Inf	0.7629	0.0000
50029	MCF7	10099-101-1	Nilotinib	1	2500.00	Inf	0.4409	0.0813	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.7033	2.847	0.6468	5.0000	6.6534	0.1877	0.1226	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.6917	2.945	0.4915	5.0000
50029	MCF7	10099-101-1	Nilotinib	1	5000.00	5.1123	0.3213	0.1513	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9625	3.8879	0.3163	3.6574	3.9346	0.0471	0.2007	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9742	3.8451	0.0543	5.0000
50029	MCF7	10102-999-6	Taxol	1	156.25	0.011	0.3104	0.3869	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9485	0.0043	0.4024	1.7559	0.0041	-0.2753	0.7098	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9333	0.0046	-0.0985	1.6543
50029	MCF7	10102-999-6	Taxol	1	312.50	0.0035	0.2945	0.4871	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.942	0.0012	0.3606	1.1730	0.0012	-0.1548	0.7704	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9429	0.0013	-0.0314	1.1319
50029	MCF7	10102-999-6	Taxol	1	625.00	0.0113	0.4205	0.3767	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9537	0.0019	0.4632	1.4557	0.0012	-0.3666	0.9204	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9688	0.0016	-0.2756	1.4872
50029	MCF7	10102-999-6	Taxol	1	1250.00	0.0036	0.3303	0.4492	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9688	0.0014	0.3921	1.6755	0.0009	-0.5017	1.0377	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9722	0.0012	-0.3721	1.9234
50029	MCF7	10102-999-6	Taxol	1	2500.00	0.0044	0.3561	0.4173	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9748	0.0022	0.3948	2.1797	0.0018	-0.2606	0.8321	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9788	0.0021	-0.1909	2.0313
50029	MCF7	10102-999-6	Taxol	1	5000.00	0.0065	0.3599	0.4220	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.982	0.0027	0.3739	1.5530	0.0035	0.0747	0.5950	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9839	0.003	0.1011	1.5593
50029	MCF7	10146-101-3	Omipalisib	1	156.25	0.009	0.3976	0.4867	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9704	0.0043	0.4456	2.9647	0.0042	-0.1123	0.8865	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9704	0.0042	-0.0094	3.1275
50029	MCF7	10146-101-3	Omipalisib	1	312.50	0.0114	0.3338	0.5655	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9834	0.0033	0.3466	0.9487	0.0035	-0.0812	0.8986	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9815	0.0039	-0.0547	0.9578
50029	MCF7	10146-101-3	Omipalisib	1	625.00	0.0443	0.3579	0.4648	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9508	0.0082	0.4079	0.9999	0.0044	-0.4899	1.1099	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9464	0.0072	-0.3808	1.1514
50029	MCF7	10146-101-3	Omipalisib	1	1250.00	0.0113	0.3383	0.5641	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9904	0.0041	0.3456	1.1539	0.002	-0.4937	1.2890	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9938	0.0036	-0.4741	1.1677
50029	MCF7	10146-101-3	Omipalisib	1	2500.00	0.0135	0.2947	0.5622	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9866	0.0054	0.3274	1.1646	0.0035	-0.3892	1.1077	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9888	0.0053	-0.3204	1.2001
50029	MCF7	10146-101-3	Omipalisib	1	5000.00	0.0126	0.3195	0.5486	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9928	0.0055	0.3504	1.4480	0.0068	0.0011	0.7822	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9918	0.0063	0.0573	1.4268
50029	MCF7	10250-999-4	Etoposide	1	156.25	5.3058	0.4217	0.1942	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.7246	2.2145	0.4150	2.0284	2.7275	0.0670	0.3122	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.7102	2.5753	0.0593	2.1983
50029	MCF7	10250-999-4	Etoposide	1	312.50	Inf	0.5796	0.1141	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9523	1.0293	0.5970	1.3384	3.2047	0.3269	0.1956	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9646	1.2216	0.3241	1.0830
50029	MCF7	10250-999-4	Etoposide	1	625.00	8.9893	0.4608	0.1734	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.8536	1.4921	0.4521	1.3064	2.0967	0.1530	0.2794	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.8571	1.7154	0.1075	1.2064
50029	MCF7	10250-999-4	Etoposide	1	1250.00	3.6183	0.4085	0.1522	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9544	1.1715	0.4337	1.7922	1.5149	0.0442	0.2528	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9607	1.3994	0.0564	1.5083
50029	MCF7	10250-999-4	Etoposide	1	2500.00	2.7934	0.3808	0.1971	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9811	0.9707	0.4049	1.5697	1.3557	0.0804	0.2843	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9843	1.1496	0.1026	1.3922
50029	MCF7	10250-999-4	Etoposide	1	5000.00	5.723	0.4425	0.2054	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9871	1.245	0.3994	1.0513	2.2994	0.2580	0.2609	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9897	1.4469	0.1958	1.0728
50029	MCF7	10264-999-2	Methotrexate	1	156.25	Inf	1.0500	0.0325	flat fit: x = Einf	0.0	Inf	1.0500	0.0000	Inf	1.0500	0.0787	flat fit: x = Einf	-0.0413	Inf	1.0500	0.0000
50029	MCF7	10264-999-2	Methotrexate	1	312.50	Inf	0.8390	0.1009	flat fit: x = Einf	0.4423	Inf	0.8390	0.0000	Inf	0.7789	0.1493	flat fit: x = Einf	0.3991	Inf	0.7789	0.0000
50029	MCF7	10264-999-2	Methotrexate	1	625.00	Inf	0.8825	0.0707	flat fit: x = Einf	0.3847	Inf	0.8825	0.0000	Inf	0.6816	0.2003	flat fit: x = Einf	0.4174	Inf	0.6816	0.0000
50029	MCF7	10264-999-2	Methotrexate	1	1250.00	Inf	0.7852	0.1113	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9095	0.1263	0.7715	5.0000	0.1889	0.4159	0.2795	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9322	0.1264	0.4329	5.0000
50029	MCF7	10264-999-2	Methotrexate	1	2500.00	Inf	0.6358	0.1655	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9466	0.0856	0.6772	5.0000	0.1108	0.2786	0.3434	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9598	0.0866	0.3539	5.0000
50029	MCF7	10264-999-2	Methotrexate	1	5000.00	Inf	0.5429	0.2573	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9881	0.0584	0.5525	3.9662	0.089	0.3808	0.3493	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9922	0.0597	0.3954	3.9094
50029	MCF7	10051-104-1	Lapatinib	10	156.25	11.1916	0.6358	-0.0226	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.8676	11.1513	0.0089	5.0000	9.2068	0.3297	-0.0023	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9559	11.4589	-0.9933	5.0000
50029	MCF7	10051-104-1	Lapatinib	10	312.50	10.5091	0.5612	-0.0062	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.909	10.5083	0.0002	5.0000	8.9871	0.2748	0.0160	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9589	11.1922	-0.9978	5.0000
50029	MCF7	10051-104-1	Lapatinib	10	625.00	10.4833	0.5582	-0.0175	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9058	10.4831	0.0001	5.0000	9.0342	0.2868	0.0005	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9607	11.2515	-0.9982	5.0000
50029	MCF7	10051-104-1	Lapatinib	10	1250.00	9.5141	0.4749	0.0231	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9588	7.3956	0.3045	3.7284	7.789	0.2963	0.0390	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9733	7.6883	0.0229	3.5950
50029	MCF7	10051-104-1	Lapatinib	10	2500.00	8.3531	0.4922	0.0394	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.961	4.0463	0.4867	5.0000	5.4143	0.3715	0.0498	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9724	4.1756	0.3635	4.9987
50029	MCF7	10051-104-1	Lapatinib	10	5000.00	9.3172	0.4842	0.0349	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9836	5.2446	0.3891	2.6200	6.9653	0.3535	0.0448	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9884	5.6941	0.2036	2.5955
50029	MCF7	10071-101-1	Palbociclib	10	156.25	1.1512	0.4454	0.1981	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9642	0.692	0.4608	5.0000	0.8853	0.3734	0.2329	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.951	0.6797	0.3666	5.0000
50029	MCF7	10071-101-1	Palbociclib	10	312.50	0.8181	0.3916	0.2965	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9631	0.2923	0.4029	1.5925	0.5429	0.3361	0.3076	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9828	0.3287	0.3599	2.5341
50029	MCF7	10071-101-1	Palbociclib	10	625.00	0.8884	0.3508	0.2985	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9798	0.3347	0.3536	1.2577	0.823	0.2996	0.2882	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9814	0.4431	0.3244	1.6899
50029	MCF7	10071-101-1	Palbociclib	10	1250.00	0.6482	0.3793	0.2909	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9903	0.3226	0.3994	2.2973	0.6413	0.3641	0.2827	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9909	0.3634	0.3950	2.7483
50029	MCF7	10071-101-1	Palbociclib	10	2500.00	1.7746	0.4565	0.3144	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9722	0.1799	0.4283	0.8487	1.2586	0.4297	0.3170	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9766	0.2168	0.4040	0.9382
50029	MCF7	10071-101-1	Palbociclib	10	5000.00	Inf	0.5698	0.2671	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9777	0.119	0.5495	0.8030	1.6327	0.4583	0.3304	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9743	0.1344	0.4317	0.7969
50029	MCF7	10097-101-1	Erlotinib	10	156.25	Inf	1.0500	-0.0500	flat fit: x = Einf	-Inf	Inf	1.0500	0.0000	Inf	1.0500	-0.0500	flat fit: x = Einf	-Inf	Inf	1.0500	0.0000
50029	MCF7	10097-101-1	Erlotinib	10	312.50	Inf	1.0500	-0.0500	flat fit: x = Einf	-Inf	Inf	1.0500	0.0000	Inf	1.0500	-0.0500	flat fit: x = Einf	-Inf	Inf	1.0500	0.0000
50029	MCF7	10097-101-1	Erlotinib	10	625.00	Inf	1.0500	-0.0500	flat fit: x = Einf	-Inf	Inf	1.0500	0.0000	Inf	1.0500	-0.0500	flat fit: x = Einf	-Inf	Inf	1.0500	0.0000
50029	MCF7	10097-101-1	Erlotinib	10	1250.00	Inf	1.0500	-0.0494	flat fit: x = Einf	-1058.7016	Inf	1.0500	0.0000	Inf	1.0500	-0.0497	flat fit: x = Einf	-6242.1833	Inf	1.0500	0.0000
50029	MCF7	10097-101-1	Erlotinib	10	2500.00	Inf	1.0500	-0.0414	flat fit: x = Einf	-5.217	Inf	1.0500	0.0000	Inf	1.0500	-0.0413	flat fit: x = Einf	-5.064	Inf	1.0500	0.0000
50029	MCF7	10097-101-1	Erlotinib	10	5000.00	Inf	0.9493	-0.0272	flat fit: x = Einf	-0.2401	Inf	0.9493	0.0000	Inf	0.9450	-0.0277	flat fit: x = Einf	-0.1701	Inf	0.9450	0.0000
50029	MCF7	10099-101-1	Nilotinib	10	156.25	Inf	1.0500	-0.0449	flat fit: x = Einf	-14.2993	Inf	1.0500	0.0000	Inf	1.0500	-0.0500	flat fit: x = Einf	-Inf	Inf	1.0500	0.0000
50029	MCF7	10099-101-1	Nilotinib	10	312.50	Inf	1.0500	-0.0448	flat fit: x = Einf	-2.4981	Inf	1.0500	0.0000	Inf	1.0500	-0.0423	flat fit: x = Einf	-0.9184	Inf	1.0500	0.0000
50029	MCF7	10099-101-1	Nilotinib	10	625.00	Inf	0.5262	0.0175	flat fit: x = Einf	0.3603	Inf	0.5262	0.0000	Inf	0.5507	0.0166	flat fit: x = Einf	0.3516	Inf	0.5507	0.0000
50029	MCF7	10099-101-1	Nilotinib	10	1250.00	Inf	0.4669	0.0374	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9403	5.3818	0.5184	4.9987	Inf	0.4812	0.0332	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9223	5.386	0.5472	4.9989
50029	MCF7	10099-101-1	Nilotinib	10	2500.00	6.6038	0.3557	0.0858	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9861	4.8647	0.3915	5.0000	6.2994	0.2830	0.0907	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9781	5.0209	0.3392	5.0000
50029	MCF7	10099-101-1	Nilotinib	10	5000.00	7.0822	0.4251	0.1002	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9827	4.6275	0.4405	5.0000	5.8021	0.2169	0.1167	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9848	5.0783	0.2432	5.0000
50029	MCF7	10102-999-6	Taxol	10	156.25	0.0118	0.3434	0.3668	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9378	0.0039	0.4012	1.4706	0.0102	0.1794	0.4248	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9224	0.0055	0.2689	1.2484
50029	MCF7	10102-999-6	Taxol	10	312.50	0.0025	0.3791	0.4490	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9875	0.0016	0.3816	3.2485	0.0024	0.3165	0.4903	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9849	0.0018	0.3167	3.1935
50029	MCF7	10102-999-6	Taxol	10	625.00	0.0032	0.2831	0.4795	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9776	0.002	0.3189	2.1212	0.0038	0.1822	0.5215	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9674	0.0026	0.2290	1.6034
50029	MCF7	10102-999-6	Taxol	10	1250.00	0.0056	0.2720	0.4549	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9937	0.0034	0.2927	1.7451	0.0065	0.1932	0.4790	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9948	0.0045	0.2194	1.5490
50029	MCF7	10102-999-6	Taxol	10	2500.00	0.0081	0.2922	0.4308	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9901	0.0045	0.2994	1.5351	0.0077	0.1815	0.4795	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9924	0.0055	0.1903	1.4104
50029	MCF7	10102-999-6	Taxol	10	5000.00	0.0339	0.4326	0.2981	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9795	0.0074	0.4553	1.5883	0.0145	0.2260	0.3798	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9745	0.0092	0.2639	1.6699
50029	MCF7	10135-101-1	Linsitinib	10	156.25	Inf	0.5783	0.0357	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.8895	4.6073	0.5861	1.6763	9.0102	0.2434	0.0871	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9311	8.7921	0.0150	1.2390
50029	MCF7	10135-101-1	Linsitinib	10	312.50	Inf	0.5494	0.1051	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9384	0.9978	0.6247	5.0000	1.3492	0.2482	0.1870	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.952	1.0201	0.3765	5.0000
50029	MCF7	10135-101-1	Linsitinib	10	625.00	Inf	0.4620	0.1015	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9655	1.9384	0.5028	2.4667	2.4716	0.1174	0.1799	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9796	2.0393	0.1846	2.3974
50029	MCF7	10135-101-1	Linsitinib	10	1250.00	Inf	0.4811	0.1489	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.975	0.8281	0.5256	2.4434	1.617	0.3072	0.1976	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9795	0.8858	0.3711	2.2518
50029	MCF7	10135-101-1	Linsitinib	10	2500.00	Inf	0.4612	0.1737	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9738	0.7745	0.5143	4.6751	1.1554	0.3275	0.2129	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9748	0.7904	0.4031	4.3222
